author,title,controlno,call_no
길벗알앤디,(2020 시나공) 정보처리기능사 실기,000002005593,004.076 020교
윤영빈,(수제비 2020) 정보처리기사 실기 : NCS 기반으로 재구성한 합격비법서. v. 1,000002011129,004.076 020구
윤영빈,(수제비 2020) 정보처리기사 실기 : NCS 기반으로 재구성한 합격비법서. v. 2,000002011130,004.076 020구
길벗알앤디,(2021 시나공) 컴퓨터활용능력 2급 실기,000002032526,004.076 020규
길벗알앤디,(2021 시나공) 컴퓨터활용능력 2급 실기 : 컴활 함수 사전 + 계산문제 20회 + 최신기출문제 10회,000002032527,004.076 020그
길벗알앤디,"(2021 시나공) 컴퓨터활용능력 1급 필기. 2권, 스프레드시트·데이터베이스 일반",000002034161,004.076 020기
길벗알앤디,"(2021 시나공) 컴퓨터활용능력 1급 필기. 1권, 컴퓨터 일반",000002034160,004.076 020기
길벗알앤디,(2021 시나공) 컴퓨터활용능력 1급 필기 : 기출문제집,000002034162,004.076 020나
길벗알앤디,"(2021 시나공) 컴퓨터활용능력 1급 실기. 1권, 스프레드시트 실무",000002034157,004.076 020냐
길벗알앤디,(2021 시나공) 컴퓨터활용능력 1급 실기 : 컴활 함수 사전 + 계산문제 20회 + 최신기출문제 10회,000002034159,004.076 020너
강윤석,(시나공 기출문제집) 컴퓨터활용능력 1급 실기,000002058214,004.076 020녀
강윤석,(시나공 기출문제집) 컴퓨터활용능력 1급 필기,000002071594,004.076 020노
윤영빈,(수제비 2021) 정보처리기사 필기 : NCS 기반으로 재구성한 합격비법서. v. 1,000002036645,004.076 021가
윤영빈,(수제비 2021) 정보처리기사 필기 : NCS 기반으로 재구성한 합격비법서. v. 2,000002036646,004.076 021가
김정준,"(2021 시나공) 정보처리기사 필기. 2권, 프로그래밍 언어 활용·정보시스템 구축 관리",000002039748,004.076 021갸
김정준,"(2021 시나공) 정보처리기사 필기. 1권, 소프트웨어 설계·소프트웨어 개발·데이터베이스 구축",000002039747,004.076 021갸
길벗알앤디,(2021 시나공) 정보처리기사 필기 : 기출문제집,000002039749,004.076 021거
김정준,(2021 시나공) 정보처리기사 실기. 1권,000002047931,004.076 021겨
김정준,(2021 시나공) 정보처리기사 실기. 2권,000002047932,004.076 021겨
길벗알앤디,(2021 시나공) 정보처리기사 실기 : 기출문제집,000002047933,004.076 021고
윤영빈,(수제비 2021) 정보처리기사 실기 : NCS 기반으로 재구성한 합격비법서. v. 2,000002048111,004.076 021교
윤영빈,(수제비 2021) 정보처리기사 실기 : NCS 기반으로 재구성한 합격비법서. v. 1,000002048110,004.076 021교
박윤정,"(이기적) 컴퓨터활용능력 1급 실기 기출문제집. 2권, 데이터베이스",000002088613,004.076 021구
박윤정,"(이기적) 컴퓨터활용능력 1급 실기 기출문제집. 1권, 스프레드시트",000002088625,004.076 021구
박윤정,"(이기적) 컴퓨터활용능력 1급 실기 기본서. 2권, 데이터베이스 이론서",000002088623,004.076 021규
박윤정,"(이기적) 컴퓨터활용능력 1급 실기 기본서. 4권, 데이터베이스 문제집",000002088614,004.076 021규
박윤정,"(이기적) 컴퓨터활용능력 1급 실기 기본서. 3권, 스프레드시트 문제집",000002088622,004.076 021규
박윤정,"(이기적) 컴퓨터활용능력 1급 실기 기본서. 1권, 스프레드시트 이론서",000002088624,004.076 021규
박윤정,"(이기적) 컴퓨터활용능력 2급 실기 기본서. 2권, 문제집",000002110955,004.076 021그
길벗알앤디,(2022 시나공) 컴퓨터활용능력 1급 실기 : 컴활 함수 사전 + 계산문제 20회 + 최신기출문제 10회,000002113035,004.076 021기
길벗알앤디,"(2022 시나공) 컴퓨터활용능력 1급 실기. 2권, 데이터베이스 실무",000002113034,004.076 021나
길벗알앤디,"(2022 시나공) 컴퓨터활용능력 1급 실기. 1권, 스프레드시트 실무",000002113019,004.076 021나
김정준,"(2022 시나공) 정보처리기사 필기. 1권, 소프트웨어 설계·소프트웨어 개발·데이터베이스 구축",000002114471,004.076 021냐
김정준,"(2022 시나공) 정보처리기사 필기. 2권, 프로그래밍 언어 활용·정보시스템 구축 관리",000002114472,004.076 021냐
길벗알앤디,(2022 시나공) 정보처리기사 필기 : 기출문제집,000002114176,004.076 021너
윤영빈,(수제비 2022) 정보처리기사 실기 final 실전 모의고사,000002100968,004.076 022가
NCS 정보화기술 연구회,(기사패스) 정보처리 기사 실기 문제집 1200. 1권,000002100969,004.076 022갸
NCS 정보화기술 연구회,(기사패스) 정보처리 기사 실기 문제집 1200. 2권,000002102031,004.076 022갸
윤영빈,(수제비 2022) 정보처리기사 실기 : NCS 기반으로 재구성한 합격비법서. v. 2,000002101664,004.076 022거
윤영빈,(수제비 2022) 정보처리기사 필기 : NCS 기반으로 재구성한 합격비법서. v. 2,000002114499,004.076 022겨
윤영빈,(수제비 2022) 정보처리기사 필기 : NCS 기반으로 재구성한 합격비법서. v. 1,000002114174,004.076 022겨
길벗알앤디,(2022 시나공) 정보처리기사 실기 : 기출문제집,000002114498,004.076 022고
김정준,(2022 시나공) 정보처리기사 실기. 2권,000002114497,004.076 022교
김정준,(2022 시나공) 정보처리기사 실기. 1권,000002114175,004.076 022교
추연수,정보처리기술사 : 정보관리·컴퓨터시스템응용,000002104741,004.076 022구
길벗알앤디,"(2023 시나공) 컴퓨터활용능력 1급 실기. 2권, 데이터베이스 실무",000002124537,004.076 022규
길벗알앤디,"(2023 시나공) 컴퓨터활용능력 1급 실기. 1권, 스프레드시트 실무",000002124510,004.076 022규
길벗알앤디,(2023 시나공) 컴퓨터활용능력 1급 실기 : 컴활 함수 사전 + 계산문제 20회 + 최신기출문제 10회,000002124538,004.076 022그
장덕철,('99)정보처리기사 필기 Master bible,000001036574,004.076 99가
한국정보과학회,(2005 가을) 학술발표논문집. Ⅰ~II,000001131568,004.08 005가
한국정보과학회,"한국컴퓨터종합학술대회 2005 논문집. A,B",000001131571,004.08 005갸
한국정보과학회,(2006 가을) 학술발표논문집. A~D,000001131569,004.08 006가
한국정보과학회,(2006) 한국컴퓨터종합학술대회 논문집. A~D,000001131572,004.08 006갸
한국정보과학회,(2008 가을) 학술발표논문집. A~D,000001131570,004.08 008가
한국정보과학회,(2009)한국컴퓨터종합학술대회 논문집. A ,000001135814,004.08 009가
한국정보과학회,(2009)한국컴퓨터종합학술대회 논문집. D,000001135817,004.08 009가
한국정보과학회,(2009)한국컴퓨터종합학술대회 논문집. C,000001135816,004.08 009가
한국정보과학회,(2009)한국컴퓨터종합학술대회 논문집. B,000001135815,004.08 009가
한국 정보과학회,(2010가을) 학술발표논문집(A),000001204062,004.08 010가
한국정보과학회,(2010) 한국컴퓨터 종합학술대회 논문집(A),000001204046,004.08 010갸
한국정보과학회,(2010) 한국컴퓨터 종합학술대회 논문집(B),000001204047,004.08 010갸
한국정보과학회,(2010) 한국컴퓨터 종합학술대회 논문집(C),000001204051,004.08 010갸
한국정보과학회,(2010) 한국컴퓨터 종합학술대회 논문집(D),000001204052,004.08 010갸
한국정보과학회,(2011 가을) 학술발표논문집(A),000001204057,004.08 011가
한국정보과학회,(2011) 한국컴퓨터 종합학술대회 논문집(C),000001204055,004.08 011갸
한국정보과학회,(2011) 한국컴퓨터 종합학술대회 논문집(A),000001204053,004.08 011갸
한국정보과학회,(2011) 한국컴퓨터 종합학술대회 논문집(D),000001204056,004.08 011갸
한국정보과학회,(2011) 한국컴퓨터 종합학술대회 논문집(A),000001204054,004.08 011갸
한국정보과학회,(2012) 한국컴퓨터 종합학술대회 논문집. C,000001200834,004.08 012가
한국정보과학회,(2012 가을) 학술발표논문집. D,000001206916,004.08 012갸
한국정보과학회,(2012 가을) 학술발표논문집. C,000001206915,004.08 012갸
한국정보과학회,(2012 가을) 학술발표논문집. B,000001206914,004.08 012갸
한국정보과학회,(2012 가을) 학술발표논문집. A,000001206913,004.08 012갸
 ,吳在華 敎授 停年紀念 論文集,000000405187,004.08 93갸
이경재,컴퓨터만 사주면 장땡인가? : 현직 교사의 충격적 문제제기,000000468317,004.08 95가
한국 정보과학회,학술발표논문집. 2004 봄. A,000000113975,004.08 96가
한국 정보과학회,학술발표논문집. 2004 봄. B,000000070045,004.08 96가
한국 정보과학회,학술발표논문집. 2002 봄,000000025767,004.08 96가
한국 정보과학회,한국컴퓨터종합학술대회 논문집. 2006. A,000000176920,004.08 96가
구보전황홍 久保田晃弘,環境生活としてのコンピュ-タ,000000718767,004.08 96갸
성균관대학교. 경영대학원. 정보처리동문회,情報處理學科의 永遠한 스승님 朴安企敎授 停年記念集,000000634215,004.08 97가
"Arnold, Adrian",Computing with Windows® 7 for the older and wiser : get up and running on your home PC,000001630023,004.0846 010a
"Davis, Martin",The universal computer : the road from Leibniz to Turing,000001291950,004.09 000a
"Wurster, Christian",Computers : an illustrated history,000001254940,004.09 002a
"Morrogh, Earl",Information architecture : an emerging 21st century profession,000001282249,004.09 003a
"Davis, Martin","수학자, 컴퓨터를 만들다 : 라이프니츠에서 튜링까지",000000119817,004.09 005가
"Battelle, John",(검색으로 세상을 바꾼)구글스토리,000001097414,004.09 005가
"Davis, Martin","수학자, 컴퓨터를 만들다",000001106615,004.09 005갸
백욱인,컴퓨터 역사,000000892394,004.09 013가
"Haigh, Thomas",ENIAC in action : making and remaking the modern computer,000001958400,004.09 016a
"Garfinkel, Simson","The computer book : from the abacus to artificial intelligence, 250 milestones in the history of computer science",000001949158,004.09 018a
"Turing, Dermot",계산기는 어떻게 인공지능이 되었을까? : 주판에서 알파고까지 거의 모든 컴퓨팅의 역사,000001957774,004.09 019가
"Turing, Dermot",계산기는 어떻게 인공지능이 되었을까? : 주판에서 알파고까지 거의 모든 컴퓨팅의 역사,000001951516,004.09 019가
"Robertson, S. E. (Stephen Edward)","B C, before computers : on information technology from writing to the age of digital data",000002130854,004.09 020a
천첨애 川添愛,컴퓨터는 어떻게 만들어졌나요? : 처음 배우는 컴퓨터의 역사와 구조,000001998267,004.09 020가
천첨애 川添愛,컴퓨터는 어떻게 만들어졌나요? : 처음 배우는 컴퓨터의 역사와 구조,000001991769,004.09 020가
"Galloway, Alexander R.",Uncomputable : play and politics in the long digital age,000002086791,004.09 021a
"Shurkin, Joel N.",컴퓨터를 만든 영웅들,000000376357,004.09 92가 
"Ceruzzi, Paul E",A history of modern computing,000002029029,004.09 98a
"Birrien, Jean-Yvon",컴퓨터의 역사,000000664075,004.09 99가
"Ceruzzi, Paul E",A history of modern computing,000001562235,004.0904 98a
이재구,IT 천재들 : 상상을 현실로 바꾼 영웅들의 이야기,000001186949,004.092 011가
이재구,IT 천재들 : 상상을 현실로 바꾼 영웅들의 이야기,000000805517,004.092 011가
"Isaacson, Walter","The innovators : how a group of hackers, geniuses, and geeks created the digital revolution",000001671421,004.092 014a
유한준,한국의 IT 천재들 : 청소년의 창의력을 길러주는 괴짜들의 이야기,000000903532,004.092 014가
유한준,한국의 IT 천재들 : 청소년의 창의력을 길러주는 괴짜들의 이야기,000001244380,004.092 014가
"Isaacson, Walter",이노베이터,000001771981,004.092 015가 
"Evans, Claire Lisa",Broad band : the untold story of the women who made the Internet,000001901562,004.092 018a
"Evans, Claire Lisa","세상을 연결한 여성들 : 과학자, 프로그래머에서 사업가까지, 여성이 이끈 인터넷의 역사",000002042850,004.092 020가
"Evans, Claire Lisa","(세상을 연결한) 여성들 : 과학자, 프로그래머에서 사업가까지, 여성이 이끈 인터넷의 역사",000002036592,004.092 020갸
"Isaacson, Walter",이노베이터,000002105417,004.092 022가
"Levy, Steven","해커 : 컴퓨터의 역사를 만들어 온 영웅들의 이야기, 하",000000302888,004.092 91 
"Levy, Steven","해커, 그 광기와 비밀의 기록",000000542711,004.092 96가
"Shasha, Dennis Elliott",컴퓨터를 만든 15인의 과학자,000000625420,004.092 98가
"Beyer, Kurt",그레이스 호퍼 : 정보 시대를 발명한 여인,000001877721,004.092 H778 017가
"Beyer, Kurt",그레이스 호퍼 : 정보 시대를 발명한 여인,000001888989,004.092 H798 017가
"Lanier, Jaron","가상 현실의 탄생 : VR의 아버지 재런 러니어, 자신과 과학을 말하다",000001931496,004.092 L272 018가
"Lanier, Jaron","가상 현실의 탄생 : VR의 아버지 재런 러니어, 자신과 과학을 말하다",000001935752,004.092 L287 018가
"Pausch, Randy",The last lecture,000001341920,004.092 P287 008a
"Pausch, Randy",마지막 강의,000001122605,004.092 P334 008가
"Pausch, Randy",마지막 강의 영한 대역,000001189552,004.092 P334 011가
"Aspray, William",존 폰 노이만 그리고 현대 컴퓨팅의 기원,000001770124,004.092 V896 015가 
"게이츠 , 빌",빌 게이츠의 미래로 가는 길,000000995009,004.092 게이츠 미 
"게이츠 , 빌",빌게이츠 @ 생각의 속도 : 디지털 신경망 비즈니스,000001034201,004.092 게이츠 생
"Agar, Jon",The government machine : a revolutionary history of the computer,000001310116,004.0941 003a
서현진,처음 쓰는 한국 컴퓨터사 : 컴퓨터 도입 30년사,000000522832,004.0951 97가
"Nielsen, Michael A",Quantum computation and quantum information,000001262965,004.1 000b
"Bouwmeester, Dirk","The physics of quantum information : quantum cryptography, quantum teleportation, quantum computation",000001621224,004.1 000c
이순칠,양자 컴퓨터 : 21세기 과학혁명,000000019750,004.1 003가
이현열,양자컴퓨터 기초 수리,000001087922,004.1 003갸
서야철랑 西野哲郞,양자컴퓨터 입문,000000105216,004.1 003거
이순칠,양자 컴퓨터 : 21세기 과학혁명,000001971941,004.1 003거
"Benenti, Giuliano","Principles of quantum computation and information . Volume 1, Basic concepts",000001715563,004.1 004a
"Spector, Lee C.",Automatic quantum computer programming : a genetic programming approach,000002029765,004.1 004b
"Loepp, Susan",Protecting information : from classical error correction to quantum cryptography,000001713777,004.1 006a
임정인 林正人,Quantum information : an introduction,000001321234,004.1 006a
"Steeb, W.-Hans",Problems and solutions in quantum computing and quantum information,000001715635,004.1 006b
"International School of Physics ""Enrico Fermi"" (2005 : Varenna, Italy)","Quantum computers, algorithms, and chaos",000001621220,004.1 006d
"Metodi, Tzvetan S",Quantum computing for computer architects,000001621222,004.1 006e
"Steeb, W.-Hans",Problems and solutions in quantum computing and quantum information,000001621225,004.1 006f
"Mermin, N. David",Quantum computer science : an introduction,000001621221,004.1 007a
"Benenti, Giuliano","Principles of quantum computation and information . volume II, Basic tools and special topics",000001715562,004.1 007a
"Johnson, George",Q 양자컴퓨터 : 이보다 더 빠른 컴퓨터는 있을 수 없다,000000142222,004.1 007가
"Johnson, George",Q 양자컴퓨터,000001119769,004.1 007가
"Meglicki, Zdzislaw",Quantum computing without magic : devices,000001601637,004.1 008a
"Yanofsky, Noson S.",Quantum computing for computer scientists,000001621217,004.1 008b
"Barnett, S. M. (Stephen M.)",Quantum information,000001621223,004.1 009b
"Nielsen, Michael A",Quantum computation and quantum information,000001731442,004.1 010a
"Nielsen, Michael A",Quantum computation and quantum information,000001637029,004.1 010a
"Rieffel, Eleanor",Quantum computing : a gentle introduction,000001729998,004.1 011a
"Jeffers, Jim",Intel Xeon Phi coprocessor high-performance programming,000001752408,004.1 013a 
"Lidar, D. A. (Daniel A.)",Quantum error correction,000001903445,004.1 013b
"Rieffel, Eleanor",Quantum computing : a gentle introduction,000001894614,004.1 014a
"Banfield, Richard",디자인 스프린트,000001875344,004.1 017가
서삼수임 西森秀稔,1억배 빠른 양자 컴퓨터가 온다 : 인공지능의 미래를 결정할 양자 컴퓨터 이야기,000001971976,004.1 018가
"Silva, Vladimir",양자 컴퓨터 프로그래밍 : IBM Q Experience로 하는 양자 컴퓨터 프로그래밍,000001971975,004.1 019가
"McMahon, David (David M.)",양자 컴퓨팅 이론 해설 : 양자역학으로 알고리즘 구현하기,000001999262,004.1 020가
"McMahon, David (David M.)",양자 컴퓨팅 이론 해설 : 양자역학으로 알고리즘 구현하기,000002011938,004.1 020가
"Hidary, Jack D",양자 컴퓨팅 : 이론에서 응용까지,000002023517,004.1 020갸
"Berman, Gennady P.",Introduction to quantum computers,000001568906,004.1 98a
"Milburn, G. J (Gerard J.)",The Feynman processor : quantum entanglement and the computing revolution,000001574899,004.1 98b
한국아이비엠교육센터,VSE/SP 입문 : 자율학습용,000000336435,004.125 In8 91고
"Barfield, Woodrow",Fundamentals of wearable computers and augumented reality,000001562537,004.16 001a
고재관,(Starting) Mobile PDA programming,000001053847,004.16 001갸
"Gilmore, Charles M.",마이크로프로세서,000001056185,004.16 001거
이순원,PC 진단ㆍ문제해결 무작정 따라하기 : upgrade!,000001064725,004.16 002
"White, Ron",How computers work,000001705851,004.16 002a
"Grattan, Nick","Pocket PC, handheld PC developer's guide with Microsoft eMbedded Visual Basic",000001710026,004.16 002b
판촌건 坂村健,유비쿼터스 컴퓨팅 혁명,000001067852,004.16 002가
양재봉,PC 튜닝 실속 홈시어터 만들기,000001069402,004.16 002갸
이수창,튜닝 마니아로 go!,000001069403,004.16 002거
오진용,PC조립튜닝再입문,000001069405,004.16 002겨
"Tocci, Ronald J.",Microprocessors and microcomputers : hardware and software,000001715005,004.16 003a
양재봉,"너, 하드디스크 포맷해 봤니?",000001074144,004.16 003가
이순원,(동급 최강의 성능을 보장하는) PC최적화 가이드,000001077351,004.16 003갸
이순원,PC 진단 문제해결 : 무작정 따라하기,000001080063,004.16 003거
"Catsoulis, John",임베디드 하드웨어 이해와 설계,000001084171,004.16 003겨 
"Jantsch, Axel",Modeling embedded systems and SoC's : concurrency and time in models of computation,000001713979,004.16 004a
이순원,PC조립. 업그레이드 무작정 따라하기,000001090231,004.16 004가
홍진호,(돈과 시간을 아껴주는) PC진단 ＆ 관리노트,000001091224,004.16 004갸
배동규,PC 관리와 유지,000001092308,004.16 004거
"Pervasive 2005 (3th : 2005 : Munich, Germany)","Pervasive computing : third international conference, PERVASIVE 2005, Munich, Germany, May 8-13, 2005, proceedings",000001297152,004.16 005a
"Nisan, Noam",The elements of computing systems : building a modern computer from first principles,000001601603,004.16 005d
"Catsoulis, John",Designing embedded hardware,000001625819,004.16 005e
김지현,PC 업그레이드와 최적화 길라잡이,000001093799,004.16 005가
이순원,"너, PC 조립해봤니?",000000125965,004.16 005갸
이순원,"PC조립, 업그레이드 무작정 따라하기",000001094162,004.16 005갸
양재봉,"너, 하드디스크 포맷해 봤니?",000001095283,004.16 005거
김범준,(뇌를 자극하는) 하드웨어 입문 : 만들면서 이해한다,000000163782,004.16 006가
"Norman, Donald A",보이지 않는 컴퓨터,000000197480,004.16 006갸
윤덕룡 尹德龍,(어셈블리와 C언어로 익히는) AT89S52 마스터 : OK-89S52,000001104581,004.16 006갸
"Catsoulis, John",임베디드 하드웨어 이해와 설계,000000168881,004.16 006거
"Catsoulis, John",임베디드 하드웨어 이해와 설계,000001107536,004.16 006거
조용현 趙鏞鉉,임베디드 시스템 : 범용 및 임베디드 프로세서,000000168894,004.16 006겨
차병래,임베디드시스템개론,000000169352,004.16 006고
문성욱,(목적에 맞는 최적의) PC 조립 & 활용 : 유비쿼터스 시대의 첨단 디지털 환경을 위한,000000148322,004.16 006교
이순원,내 PC 내가 조립했다! : 컴퓨터 왕초보를 위한 PC 조립책!,000000165375,004.16 006그
"ICESS 2007 (2007 : Daegu, Korea)","Embedded software and systems : third international conference, ICESS 2007, Daegu, Korea, May 14-16, 2007 : proceedings",000001716051,004.16 007a
"Herbert, Thomas F.",Linux TCP/IP networking for embedded systems,000001716841,004.16 007b
"Siewert, Sam",Real-time embedded components and systems,000001717919,004.16 007c
김휘중,(한눈에 쏙쏙) PC 조립과 업그레이드 : 사무용 PC 게임용PC 멜티미더용 PC,000001116932,004.16 007가
이순원,(무따기) PC 진단·문제해결 : 무작정 따라하기,000001120136,004.16 007갸
문성욱,(결정적인 순간에 꼭! 필요한)하드 포맷과 시스템 최적화,000001120132,004.16 007거
"Wolf, Wayne Hendrix",Computers as components : principles of embedded computing system design,000001721073,004.16 008a
이지홍,마이크로프로세서 응용실험,000001121947,004.16 008가
이행우,(ED-51EK를 이용한) 마이크로프로세서 실습,000001152988,004.16 008갸
김형태,(고액 연봉 도전 프로젝트!)RealView MDK ARM 컴파일러,000001194773,004.16 008거
문종우,(PCI 인터페이스를 이용한) 컴퓨터 제어,000001148001,004.16 009가
하판봉,(AVR과 8051기반의) 마이크로프로세서 구조 및 응용,000001140811,004.16 009갸
"Sass, Ronald",Embedded Systems Design with Platform FPGAs : Principles and Practices,000001723903,004.16 010a
"Cady, Fredrick M.",Microcontrollers and microcomputers : principles of software and hardware engineering,000002124700,004.16 010b
"Griffey, Jason",Mobile technology and libraries,000001600185,004.16 010b
"Ableson, W. Frank",언로킹 안드로이드 : 개발자 가이드,000001150995,004.16 010가
"Ableson, W. Frank",언로킹 안드로이드 : 개발자 가이드,000000743888,004.16 010가
삼성전자주식회사. 애니콜마케팅,"갤럭시 탭 완전정복 : 지금까지 경험하지 못했던 새로운 super media. 2, 어플 본좌 편",000000774499,004.16 010갸
김형태,TI Cortex-M3 펌웨어개발,000001153022,004.16 010갸
삼성전자주식회사. 애니콜마케팅,"갤럭시 탭 완전정복 : 지금까지 경험하지 못했던 새로운 super media. 1, 제품 탐닉 편",000000773547,004.16 010갸
남상엽,(CAN 프로세서를 이용한) 마이크로프로세서의 응용,000001157862,004.16 010거
이순원,PC 진단 문제해결 : 무작정 따라하기 : 윈도우 7 개정판,000001165159,004.16 010겨
최현민,아이패드 퍼펙트 가이드북,000001168015,004.16 010고
"Goldstein, Neil",Ipad application development for dummies,000001730001,004.16 011a
장병태,PC 정비사 : 필기·실기 시험문제,000001169781,004.16 011가
유호관,(기본에서 활용까지) 아이패드 핵심 가이드북,000000777054,004.16 011가
안창현,(한 권으로 완벽하게 배우는) iPad 쉽게 배우기 : +애플리케이션100,000000784630,004.16 011갸
장용석,모바일 서비스 기획에서 구현까지,000001172581,004.16 011거
프로브미디어,182가지 방법으로 iPad2 즐기기,000000791037,004.16 011거
배동규,CompTIA A,000000793148,004.16 011겨
박선호,(실전!) Windows CE 시스템 프로그래밍 완전정복,000001173492,004.16 011겨
박선호,(실전!) ARM cortex-M3 시스템 프로그래밍 완전정복. 2,000001174774,004.16 011고
최귀동,"중년층, 아이패드2 신세대처럼 즐기기 : 중년층을 위한 아이패드2 활용 가이드북",000000802327,004.16 011교
안창현,(한 권으로 완벽하게 배우는) 아이패드2 : 쉽게 배우기+애플리케이션 100,000001179117,004.16 011구
프로브미디어,182가지 방법으로 iPad2 즐기기,000001179721,004.16 011규
김기수,(2011 갤럭시 탭 사용법) 내 손안에 큰 세상 갤럭시 탭 즐기기,000001177219,004.16 011그
이순원,PC 조립 하드웨어 무작정 따라하기 : 윈도우 7 사용자용,000001180456,004.16 011기
김시현,(성공하는 초보를 위한 친절 가이드) PC 조립 & 하드웨어 : 기본+활용 지대로 배우기,000001184493,004.16 011나
배동규,CompTIA Network,000001186398,004.16 011냐
김형태,(ARM Cortex™- Mo Nuvoton NuMicro™) 펌웨어개발,000001194774,004.16 011너
"Upton, Eben",Raspberry Pi User Guide,000001729045,004.16 012a
"Holmquist, Lars Erik",Grounded innovation : strategies for creating digital products,000001756411,004.16 012a 
성동수 成桐洙,컴퓨터 하드웨어 이해 및 설계,000001192188,004.16 012가
이규민,뉴아이패드 using bible : 스마트 라이프를 위한 아이패드의 모든 것,000000822588,004.16 012가
"Pash, Adam",라이프해커 : 업무의 달인이 알려주는 121가지 업무 비법,000001201084,004.16 012갸
"Cameron, Rob",프로 윈도우폰 7 개발 : 본격적인 윈도우폰 7 개발 방법,000000823390,004.16 012갸
이규민,뉴아이패드 using bible,000001202742,004.16 012거
안창현,(한 권으로 완벽하게 배우는) 뉴 아이패드 쉽게 배우기 : +아이패드 2,000000827265,004.16 012거
김형태,ARM® Cortex™-M0 NUC140 펌웨어개발,000001203459,004.16 012겨
"Pash, Adam",라이프해커 : 업무의 달인이 알려주는 121가지 업무 비법,000000834308,004.16 012겨
이규민,뉴아이패드 using bible : 스마트 라이프를 위한 아이패드의 모든 것,000000834855,004.16 012고
Mobi-lab C,"(또 하나의 컴퓨터,) new iPad : 아이패드 실무 활용서 iPad2 공용",000000848110,004.16 012교
"Lunny, Andrew",PhoneGap : 폰갭으로 하는 크로스플랫폼 모바일 앱 개발,000000833497,004.16 012구
이규민,아이패드 미니 using bible : 스마트 라이프를 위한 아이패드 미니의 모든 것,000000844908,004.16 013가
"Saylor, Michael",모바일 웨이브 : 다시 시작된 비즈니스 대항해,000001213195,004.16 013가
김진묵,(단숨에 끝내는) PC 조립 & 업그레이드,000001211423,004.16 013갸
"Richardson, Matt (Technologist)",라즈베리 파이 시작하기,000001218862,004.16 013거
"Upton, Eben",(거침없이 배우는) 라즈베리 파이,000000851816,004.16 013거
"Upton, Eben",(거침없이 배우는) 라즈베리 파이,000001218863,004.16 013겨
"Richardson, Matt (Technologist)",라즈베리 파이 시작하기,000000853158,004.16 013겨
이규민,아이패드 미니 using bible : 스마트 라이프를 위한 아이패드 미니의 모든 것,000001226092,004.16 013고
김용석,마이크로프로세서의 이해 : 프로그래밍에서 프로세서 설계까지,000001225852,004.16 013교
이재상,라즈베리 파이 활용백서 : 실전 프로젝트 20,000000867033,004.16 013교
"Sadun, Erica",(The) advanced iOS 6 developer's cookbook : 한국어판,000000871401,004.16 013규
"Sadun, Erica",(The) advanced iOS 6 developer's cookbook : 한국어판,000001224476,004.16 013그
이재상,라즈베리 파이 활용백서 : 실전 프로젝트 20,000001796128,004.16 013기 
"Ryan, Susan Elizabeth",Garments of paradise : wearable discourse in the digital age,000001666795,004.16 014a
"Hartman, Kate",Make : wearable electronics,000001666796,004.16 014b
"Sadun, Erica",(The) core iOS developer's cookbook : 한국어판,000001737389,004.16 014가
"Sadun, Erica",(The) core iOS developer's cookbook : 한국어판,000000906351,004.16 014가
김형태,ARM® Cortex™-M4F TI Tiva™ 펌웨어개발,000000911417,004.16 014갸
"Monk, Simon",라즈베리 파이 쿡북,000000904205,004.16 015가
"Monk, Simon",라즈베리 파이 쿡북,000001244791,004.16 015가
김정윤,(라즈베리파이 2로 만들어 보는) 사물인터넷,000001760128,004.16 015갸 
김정윤,(라즈베리파이 2로 만들어 보는) 사물인터넷,000001774657,004.16 015갸 
김성우,(사물인터넷을 품은) 라즈베리 파이 : 사물인터넷 프로그래밍의 모든 것,000001771276,004.16 016가
김성우,(사물인터넷을 품은) 라즈베리 파이,000001778601,004.16 016가 
석정모루나 石井モルナ,모두의 라즈베리 파이 with 파이썬 : 누구나 쉽게 배우는 전자 회로 공작과 파이썬 프로그래밍,000001791821,004.16 016갸 
조성근,(초보자도 쉽게 따라하는) PC조립+문제 해결,000001791751,004.16 016갸 
이순원,PC 진단 문제해결 무작정 따라하기 : 윈도우 10,000001799421,004.16 016거 
석정모루나 石井モルナ,모두의 라즈베리 파이 with 파이썬 : 누구나 쉽게 배우는 전자 회로 공작과 파이썬 프로그래밍,000001799575,004.16 016거 
김경희,"라즈베리파이 3을 이용한 사물인터넷 기초부터 실무까지 : 와이파이, 블루투스, 적외선리모콘, 센서, 모터, 안드로이드폰",000001809082,004.16 016겨
이순원,PC 조립 하드웨어 : 무작정 따라하기,000001813119,004.16 016고
김경희,"라즈베리파이 3을 이용한 사물인터넷 기초부터 실무까지 : 와이파이, 블루투스, 적외선리모콘, 센서, 모터, 안드로이드 폰",000001830505,004.16 016고
이순원,PC 조립 하드웨어 : 무작정 따라하기,000001830524,004.16 016교
심재창,(Hello) 라즈베리파이 : quick & easy practical guide : cover Raspberry Pi 3 model B,000001852098,004.16 017가
심재창,(Hello) 라즈베리파이 : quick & easy practical guide : cover Raspberry Pi 3 model B,000001841596,004.16 017가
조계원,(한 권으로 끝내는) PC 조립 & 스마트 네트워킹 & 문제해결 bible,000001852387,004.16 017갸
이상구,라즈베리 파이,000001872597,004.16 017갸
